phi,constraint,S_times_Ms,psi_s,regime
0.4533898305084746,3.2,0.5982105110511973,0.08475705069184071,underdriven_or_overconstrained
0.4533898305084746,3.3000000000000003,0.5990299568671854,0.08230123957985212,underdriven_or_overconstrained
0.4533898305084746,3.4000000000000004,0.5996726341996363,0.07996631587657163,underdriven_or_overconstrained
0.4533898305084746,3.5000000000000004,0.6001514862027251,0.07774359445967503,underdriven_or_overconstrained
0.4533898305084746,3.6,0.6004783221206371,0.07562521241396913,underdriven_or_overconstrained
0.4533898305084746,3.7,0.6006639379733009,0.07360403271088319,underdriven_or_overconstrained
0.4533898305084746,3.8000000000000003,0.6007182221560342,0.07167356129649383,underdriven_or_overconstrained
0.4533898305084746,3.9000000000000004,0.600650248108263,0.06982787543196885,underdriven_or_overconstrained
0.4533898305084746,4.0,0.6004683558616413,0.06806156152245298,underdriven_or_overconstrained
0.4533898305084746,4.1,0.6001802239939356,0.06636966098320701,underdriven_or_overconstrained
0.4533898305084746,4.2,0.5997929332802051,0.0647476229428793,underdriven_or_overconstrained
